local_time (IST),state,city,station_name,id,latitude,longitude,AT (degC),RH (%),PM2_5 (ug/m3),PM10 (ug/m3),CO2 (PPM)
29/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,35.25,13.4,16.96,46.34,404.0
29/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,34.65,17.0,15.09,85.57,400.0
29/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,33.77,15.7,30.68,77.05,404.93
29/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,83.64,611.27,874.84,5000.0
29/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,32.7,14.95,29.35,74.61,434.91
29/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,32.03,16.8,32.57,59.9,404.29
29/03/2025 18:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,34.09,19.09,26.9,73.04,400.0
29/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,32.38,16.95,41.19,109.26,405.03
29/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,86.79,636.06,910.4,5000.0
29/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,30.85,16.43,38.02,106.1,403.0
29/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,30.4,18.04,36.67,71.41,404.2
29/03/2025 19:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,33.11,19.86,39.62,107.6,400.32
29/03/2025 20:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,31.28,17.4,36.13,164.81,405.0
29/03/2025 20:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,82.58,603.19,866.59,5000.0
29/03/2025 20:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,29.3,18.11,31.99,161.08,403.04
29/03/2025 20:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,29.31,19.16,42.39,78.87,404.54
29/03/2025 20:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,32.03,20.3,40.06,168.44,400.84
29/03/2025 21:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,30.91,17.43,43.03,163.2,405.0
29/03/2025 21:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,54.4,380.92,563.49,5000.0
29/03/2025 21:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,28.15,19.45,37.65,143.56,459.24
29/03/2025 21:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,28.56,19.31,42.6,88.96,404.0
29/03/2025 21:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,31.16,20.67,45.13,165.71,457.94
